Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
MW1,BalancedRF,37,13,12,0.3173493173493173,0.08257042525834198,0.655761316872428,0.16542314125166768,0.23488455988455983,0.0657569242346051,0.5444444444444444,0.20831481399169638,0.2346310051110324,0.11315486912896501
PC1,ExtraTrees,21,9,9,0.41345119964315014,0.1347189612914471,0.8170692368214004,0.06080684964491748,0.4896031746031746,0.16448591316145997,0.37703703703703706,0.148322120073693,0.3865706050699403,0.14084357760489188
PC1,XGB,21,9,9,0.35330618670816993,0.12090293177597565,0.8185842293906809,0.0725405684432165,0.3107138667432785,0.10324137158152587,0.4192592592592593,0.16200729885842158,0.3043394691557028,0.13282548394679697
PC1,BalancedRF,21,9,9,0.31618557706190287,0.06659577256330196,0.8173392196287553,0.07657576208051327,0.2023986240458373,0.04137816531470708,0.7303703703703707,0.17215490520301632,0.30315931431908466,0.09590758627835892
PC1,LGBM,21,9,9,0.3483555613956744,0.12747737596980346,0.8037016638983593,0.06982088729457261,0.3432010582010582,0.12073642230358624,0.3614814814814815,0.14554377485074793,0.30161479818261916,0.13530318722678447
PC1,RF,21,9,9,0.328124200008258,0.10387687625986261,0.8067419937640238,0.07691726016348742,0.2753353128353128,0.08693710248407872,0.4125925925925926,0.13859178098224262,0.2750970136942115,0.11630685748501685
PC1,LogReg,21,9,9,0.262376086975551,0.05349877944368041,0.7549178249847015,0.0938761471174263,0.16795395998641413,0.03369669557307747,0.62,0.17526934005634304,0.22790157107513354,0.08049676187393441
PC2,LGBM,36,12,12,0.22322714322714324,0.1432028922396988,0.887822187391153,0.08260422806778245,0.1366962666962667,0.08958464864691451,0.6333333333333333,0.38586123009300755,0.2624431041834842,0.19113924219631237
PC2,BalancedRF,36,12,12,0.18738563884478543,0.09227901116432737,0.8950322187391154,0.09212399349116439,0.10654699187980923,0.05364966655795709,0.8,0.3559026084010437,0.25436992330437225,0.1482909531908409
PC2,ExtraTrees,36,12,12,0.18492692492692492,0.13188192694153097,0.8675983977708114,0.0968126383893788,0.12412531912531911,0.09751369487924104,0.43333333333333335,0.30912061651652345,0.19417985849556538,0.15988974325387859
PC2,LogReg,36,12,12,0.14042650673287366,0.07945590779812411,0.7591736328805294,0.1754551241995387,0.07985528489398458,0.04571591189027338,0.6,0.32659863237109044,0.17315661453855868,0.13301397282425792
PC2,XGB,36,12,12,0.16974025974025972,0.1838577319518295,0.8877307558342041,0.12310159569631103,0.11740740740740739,0.13003428903074427,0.3333333333333333,0.34960294939005054,0.1676004669675531,0.2131759535248002
PC2,RF,36,12,12,0.11015873015873016,0.17651935557444182,0.8738505747126439,0.1084866265717065,0.08388888888888889,0.14632746972138116,0.2,0.3055050463303894,0.0975142088911976,0.19847195985695942
PC3,ExtraTrees,37,16,14,0.4612805852354375,0.061253287451668,0.8323542539978264,0.03836179909995255,0.33321816617104694,0.04915627267430151,0.7541666666666667,0.09537935951882998,0.3956445142698117,0.08096603880862527
PC3,XGB,37,16,14,0.44816709466781,0.05834488822613863,0.8135712622263623,0.047334344022683196,0.31853778072782757,0.043154763740810974,0.7583333333333333,0.099128143778086,0.3817902655014421,0.08011634687790696
PC3,BalancedRF,37,16,14,0.4472597308144825,0.05729290145789449,0.8195929074160327,0.04350332589631965,0.31843681831486703,0.04147187221945332,0.7541666666666667,0.10573814617041269,0.38052457840651405,0.0795313947184786
PC3,LGBM,37,16,14,0.4254505319765231,0.04632210486312309,0.800328947368421,0.04376380073123734,0.29716588111114567,0.03729414519478022,0.7541666666666667,0.07383352144445564,0.35497185201876913,0.06281014891266273
PC3,LogReg,37,16,14,0.4084307177601411,0.04179744347201154,0.7975298219738137,0.04819374952446368,0.2769773162219971,0.03137943946380902,0.7833333333333333,0.07861650943380502,0.3403896157397264,0.05898358266077936
PC3,RF,37,16,14,0.42315595685988827,0.08815817055536498,0.8223677741551519,0.04389809651159728,0.34988310284862006,0.07476871428726052,0.5416666666666666,0.12430361575146916,0.3334855319890655,0.106422684850864
PC4,XGB,37,19,15,0.6534107395804772,0.04699053512073631,0.943259862867706,0.01769326400044789,0.5432030392952395,0.05905945793633344,0.8285714285714287,0.05822577876095119,0.6132430064494411,0.05194739237468609
PC4,ExtraTrees,37,19,15,0.6548783407131176,0.08556938645797109,0.9391374058040725,0.02415647381968117,0.5823615108932128,0.09588839001599751,0.7575757575757575,0.09488982629317678,0.6080444782534059,0.09945230131674129
PC4,RF,37,19,15,0.6510943483953199,0.08112326716353639,0.9368407295578164,0.020773750177638543,0.5857921528611184,0.08567632751469442,0.7448773448773448,0.11413274850670835,0.6044652373182712,0.0947999815215696
PC4,LGBM,37,19,15,0.6306250590586018,0.03850794316418206,0.9334229314621472,0.01474221175940497,0.5093031885580939,0.046855543170726335,0.8349206349206352,0.055749927026549725,0.5900811929533701,0.04333186219282016
PC4,BalancedRF,37,19,15,0.5656521738232586,0.0314740504329632,0.9377836656548144,0.020751457467704855,0.4031434653353393,0.03153210693354582,0.9538239538239538,0.044229818539665525,0.545952433256451,0.03420480964490519
PC4,LogReg,37,19,15,0.5664439016398618,0.041787989856018365,0.917241374664344,0.019920488791298874,0.4262206583100385,0.04431668187112311,0.8533910533910534,0.05980958118419175,0.5265585275145482,0.04695276844292027
