Dataset,raw_feature_count,post_filter_feature_count,selected_feature_count,Model,Threshold,F1,Precision,Recall,AUC-ROC,MCC,Baseline_F1,Baseline_MCC,Baseline_AUC_ROC,Delta_F1,Delta_MCC,Delta_AUC_ROC
MW1,37,13,12,ExtraTrees,0.37252385050254005,0.2608695652173913,0.16666666666666666,0.6,0.7652173913043478,0.17044466374518588,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.19425863991081382,-0.1298359278025508,0.06354377804922795
PC1,21,9,9,BalancedRF,0.7169166666666671,0.48484848484848486,0.47058823529411764,0.5,0.8910800970873787,0.443764792914761,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.15058664640837344,0.2120104944291316,0.20277866660471944
PC1,21,9,9,ExtraTrees,0.5799962865048158,0.3076923076923077,0.4,0.25,0.9253640776699029,0.27540374864268047,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.1474358974358974,-0.024876842905056207,0.22369046441478302
PC1,21,9,9,LogReg,0.5971962605403456,0.32558139534883723,0.25925925925925924,0.4375,0.8106796116504854,0.2693395112141066,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.10191389655323435,0.028472371327556506,0.1386885135749476
PC1,21,9,9,LGBM,0.9066627956908856,0.25,0.375,0.1875,0.852245145631068,0.22648361792793908,0.3304597701149425,0.2413011691604569,0.686178861788618,-0.08045977011494249,-0.014817551232517823,0.16606628384245004
PC1,21,9,9,RF,0.7145377389267474,0.19047619047619047,0.4,0.125,0.879247572815534,0.19248323674982698,0.2684124386252046,0.236262410894647,0.6883554595039622,-0.07793624814901412,-0.04377917414482002,0.19089211331157185
PC1,21,9,9,XGB,0.8145356774330139,0.23076923076923078,0.3,0.1875,0.8525485436893204,0.19142073738076418,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.2132985658409387,-0.057965983541954424,0.16568338468962918
PC2,36,12,12,BalancedRF,0.5800309523809528,0.12121212121212122,0.06666666666666667,0.6666666666666666,0.7100456621004566,0.1663382666909807,0.3342618384401114,0.2317542984856294,0.6883014304826592,-0.2130497172279902,-0.0654160317946487,0.02174423161779737
PC2,36,12,12,LogReg,0.4372323286700824,0.09090909090909091,0.04878048780487805,0.6666666666666666,0.7442922374429224,0.12566003817907795,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.33658620099298064,-0.11520710170747214,0.07230113936738458
PC2,36,12,12,ExtraTrees,0.14820208970055523,0.06557377049180328,0.034482758620689655,0.6666666666666666,0.6506849315068493,0.08155487698263864,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.3895544346364018,-0.21872571456509804,-0.05098868174827065
PC2,36,12,12,RF,0.6991411743402617,0.0,0.0,0.0,0.6666666666666665,-0.029362417255448397,0.2684124386252046,0.236262410894647,0.6883554595039622,-0.2684124386252046,-0.2656248281500954,-0.021688792837295634
PC2,36,12,12,XGB,0.696503758430481,0.0,0.0,0.0,0.5878995433789955,-0.03414441188133482,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.4440677966101695,-0.2835311328040534,-0.09896561562069572
